Fuel_Type,Body_Type,Transmission,Number_of_Owners,Car_Model,Price,Registration_Year,Seats,Kms_Driven,mileage(kmpl),max_power(bhp),Power Steering,Air Conditioner,Heater,Centeral Locking,Child Safety Locks,Anti Theft Device
0,2,0,1,13,533000.0,2013,5,49873,16.8,116.3,1,1,1,0,1,0
0,0,1,3,42,850000.0,2013,5,90000,17.2,103.6,1,1,1,1,1,0
1,2,0,2,36,751000.0,2017,5,48960,21.13,108.6,1,1,1,1,1,1
1,0,0,2,8,388000.0,2014,5,70000,24.0,70.0,1,1,1,0,1,1
0,0,0,2,11,490000.00000000006,2013,5,68000,18.5,82.85,1,1,1,1,0,0
1,1,0,1,43,494000.00000000006,2016,6,23017,25.32,77.0,1,1,1,1,1,1
1,0,0,2,11,525000.0,2014,5,83000,21.27,88.76,1,1,1,1,0,0
1,1,1,2,44,1758500.0,2016,5,92000,16.55,187.74,1,1,1,1,1,1
0,0,0,1,19,550000.0,2018,5,62139,20.51,67.04,1,1,1,1,1,1
2,0,0,1,45,365000.0,2013,5,74000,19.2,68.05,1,1,1,1,1,1
0,0,1,2,34,420000.0,2016,5,26500,24.04,67.0,1,1,1,1,1,1
1,2,1,1,46,1758500.0,2017,5,81716,27.03,190.0,1,1,1,1,1,1
1,2,1,2,17,1758500.0,2018,5,24000,17.0,254.8,1,1,1,1,1,1
0,1,1,1,47,1050000.0,2022,5,10000,17.0,108.6,1,1,1,1,1,1
0,1,1,1,48,1758500.0,2021,6,18000,16.56,141.0,0,0,0,0,0,0
0,0,0,1,49,394000.0,2013,5,38197,19.4,86.8,1,1,1,1,1,1
0,0,1,2,24,725000.0,2017,5,23000,19.56,81.8,1,1,1,1,1,1
0,0,0,1,50,240000.0,2013,5,50000,20.92,67.1,1,1,1,0,0,0
0,1,1,1,51,835000.0,2022,5,10000,19.03,71.01,1,1,1,1,1,0
0,0,0,1,8,695000.0,2019,5,19000,18.9,81.86,1,1,1,1,1,1
0,1,1,1,30,1725000.0,2020,5,14000,16.5,138.08,1,1,1,1,1,0
0,0,0,1,52,330000.0,2014,5,29268,21.1,55.2,1,1,1,1,1,1
0,2,1,1,53,990000.0,2019,5,20000,18.19,103.2,1,1,1,1,1,1
